"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","2","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2","2","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","5","3"
"Integrating new learning into practice"," "," ","4"," ","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5","4"
"Practicing good judgement and decision-making"," "," ","2"," ","7"," "," "
"Problem solving"," "," ","4","1","4"," "," "
"Reading electronic documents"," ","1","2","4","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","6","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","5","3"
"Self-starting/initiating"," "," ","3","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","6"," "," "
"Total","2","2","23","18","38","15","10"
