"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "
"Bending"," "," "," ","2","2"," "," "
"By hand"," "," "," "," ","4"," "," "
"Carrying less than 5 kg"," ","1","3"," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," ","2"
"Exposure to chemicals","3"," "," "," "," "," ","1"
"Exposure to excessive dust","3"," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," ","2"
"Exposure to extreme temperatures","2"," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," "," ","3"
"Exposure to strong odors","2"," "," "," "," "," ","2"
"Finger dexterity"," "," ","4"," "," "," "," "
"Grasping"," "," ","4"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3"," "," "
"Keyboarding on phone"," ","1"," "," ","3"," "," "
"Kneeling/squatting"," ","1"," ","1","2"," "," "
"Lifting less than 5 kg"," "," ","4"," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "
"Other climbing"," ","3"," "," ","1"," "," "
"Pinching"," "," ","4"," "," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "
"Reaching"," "," ","4"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","2","1"," "," "
"Sitting (Intermittent)"," "," "," ","2","1","1"," "
"Stair climbing"," "," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," ","2","1"," "," "
"Standing (Intermittent)"," "," "," ","2","2"," "," "
"Travel via car required","3"," "," "," "," "," ","1"
"Travel via public transportation required","3"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," ","2"," "," "
"Use of sharp tools","3"," "," "," "," "," ","1"
"Walking"," "," "," ","2","2"," "," "
"Work only indoors","4"," "," "," "," "," "," "
"Work outdoors > 5 hour","2"," "," "," "," "," ","2"
"Total","35","30","28","14","27","1","21"
