"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","12"," "," "," "," "," "," "," "," "
"Bending"," ","6"," "," "," ","6"," "," "," "
"By hand"," ","4"," "," ","2","6"," "," "," "
"Carrying less than 5 kg"," ","7","4","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","9","2","1"," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","12"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","12"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","12"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","9"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","11"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","12"," "," "," "," "," "," "," "," "
"Finger dexterity"," ","3","4","3"," "," ","2"," "," "
"Grasping"," ","1","6","3"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","5"," ","3"," "
"Keyboarding on phone"," ","10"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","7"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","5","4","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","9","2","1"," "," "," "," "," "
"Other climbing"," ","12"," "," "," "," "," "," "," "
"Pinching"," ","4","5","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","10","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","11","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","9","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","10","2"," "," "," "," "," "," "
"Reaching"," ","2","7","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," ","3","3"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","8","1"," ","3"," "
"Stair climbing"," ","6"," "," "," ","6"," "," "," "
"Standing (Continuous)"," ","3"," "," ","1","7"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","6"," ","3"," "
"Travel via car required","10"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","11"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","8"," "," "," ","4"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," "," ","12"," "," "," "
"Work only indoors","6"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","12"," "," "," "," "," "," "," "," "
"Total","146","138","42","15","21","63","7","14","22"
