"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","20"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","3","16"," "," "," "
"By hand"," ","3"," "," ","4","15"," "," "," "
"Carrying less than 5 kg"," ","4","15","2"," "," ","1"," "," "
"Carrying more than 5 kg"," ","16","6"," "," "," "," "," "," "
"Congested/cluttered working areas","18"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","22"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","21"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","18"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","21"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","15"," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","20"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","18"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","10","5"," "," ","5"," "," "
"Grasping"," ","2","10","6"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","7","12"," ","2"," "
"Keyboarding on phone"," ","18"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","5"," "," ","3","14"," "," "," "
"Lifting less than 5 kg"," ","4","13","3"," "," ","2"," "," "
"Lifting more than 5 kg"," ","12","10"," "," "," "," "," "," "
"Other climbing"," ","16"," "," "," ","6"," "," "," "
"Pinching"," ","2","11","6"," "," ","3"," "," "
"Pulling less than 5 kg"," ","14","7","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","18","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","13","8","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","16","6"," "," "," "," "," "," "
"Reaching"," ","3","10","6"," "," ","3"," "," "
"Sitting (Continuous)"," ","1"," "," ","6","13"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","7","10"," ","5"," "
"Stair climbing"," ","6"," "," ","3","13"," "," "," "
"Standing (Continuous)"," ","3"," "," ","5","13"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","7","12"," ","3"," "
"Travel via car required","16"," "," "," "," "," "," "," ","6"
"Travel via public transportation required","20"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","10"," "," ","1","11"," "," "," "
"Use of sharp tools","17"," "," "," "," "," "," "," ","5"
"Walking"," ","1"," "," ","3","18"," "," "," "
"Work only indoors","6"," "," "," "," "," "," "," ","16"
"Work outdoors > 1 hour","21"," "," "," "," "," "," "," ","1"
"Total","253","173","110","30","49","157","18","13","55"
