"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","2","3",1
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","8"," "," "," ",1
"Independent work"," "," ","3","3","4"," "," ",1
"Work at a fast pace"," ","2","2","5","1"," "," ",1
"Work under tight deadlines"," ","4","2","4"," "," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","5","4",1
"Work with clients who have experienced psychological trauma","6"," "," "," "," ","1","3",1
"Work with clients who may be aggressive","8"," "," "," "," ","1","1",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","4",1
"Work with clients with cognitive deficits","2"," "," "," "," ","5","3",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","4",1
"Work with interdisciplinary team members"," ","1","3","4","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","2","3",1
"Work with more than one preceptor"," ","2","2","2","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","5"," ","5"," "," "," ",1
"Work with other students"," ","1","3","5","1"," "," ",1
"Total","27","15","17","36","12","28","25",16
