"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","15"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","5","9"," ","1"," "
"By hand"," ","7"," "," ","2","8"," "," "," "
"Carrying less than 17 kg"," ","4","12","1"," "," "," "," "," "
"Carrying more than 17 kg"," ","9","8"," "," "," "," "," "," "
"Congested/cluttered working areas","14"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","16"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","15"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","12"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","15"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","11"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","15"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","12"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","3","4","5"," "," ","5"," "," "
"Grasping"," ","1","5","7"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","5","10"," "," "," "
"Keyboarding on phone"," ","14"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","2"," "," ","2","12"," ","1"," "
"Lifting less than 17 kg"," ","2","12","3"," "," "," "," "," "
"Lifting more than 17 kg"," ","8","8","1"," "," "," "," "," "
"Other climbing"," ","13"," "," ","1","3"," "," "," "
"Pinching"," ","3","6","4"," "," ","4"," "," "
"Pulling less than 17 kg"," ","7","9","1"," "," "," "," "," "
"Pulling more than 17 kg"," ","11","6"," "," "," "," "," "," "
"Pushing less than 17 kg"," ","4","11","2"," "," "," "," "," "
"Pushing more than 17 kg"," ","9","8"," "," "," "," "," "," "
"Reaching"," ","1","6","6"," "," ","4"," "," "
"Sitting (Continuous)"," ","3"," "," ","1","11"," ","2"," "
"Sitting (Intermittent)"," ","1"," "," ","6","5"," ","5"," "
"Stair climbing"," ","6"," "," ","2","8"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","2","11"," ","2"," "
"Standing (Intermittent)"," ","1"," "," ","4","6"," ","6"," "
"Travel via car required","15"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","12"," "," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","8"," "," ","1","7"," ","1"," "
"Use of sharp tools","13"," "," "," "," "," "," "," ","4"
"Walking"," ","1"," "," ","4","9"," ","3"," "
"Work only indoors","6"," "," "," "," "," "," "," ","11"
"Work outdoors > 1 hour","15"," "," "," "," "," "," "," ","2"
"Total","186","124","95","30","35","102","17","22","52"
