"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","3","2",1
"Group work (e.g. Client and family meetings, team meetings)"," ","3"," ","8"," "," "," ",1
"Independent work"," "," ","4","5","2"," "," ",1
"Work at a fast pace"," ","4","2","5"," "," "," ",1
"Work under tight deadlines"," ","5","1","5"," "," "," ",1
"Work with clients that speak little or no English","2"," "," "," "," ","5","4",1
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","2","5",1
"Work with clients who may be aggressive","7"," "," "," "," ","2","2",1
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","3","7",1
"Work with clients with cognitive deficits","2"," "," "," "," ","6","3",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","4",1
"Work with interdisciplinary team members"," ","1","2","8"," "," "," ",1
"Work with medically fragile clients and/or those at risk of dying","7"," "," "," "," ","1","3",1
"Work with more than one preceptor"," ","5","2","1","3"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","2"," ","7","2"," "," ",1
"Work with other students"," ","6"," ","4","1"," "," ",1
"Total","29","26","11","43","8","29","30",16
