"Question","Required less than half of a day","Required more than half of a day","Yes - Frequently"
"Analytical or clinical/professional reasoning"," ","3"," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","3"," "
"Follow multiple step commands"," "," ","3"
"Integrating new learning into practice"," ","3"," "
"Memory aids can be used (e.g. information sheets)"," "," ","3"
"Practicing good judgement and decision-making"," ","3"," "
"Problem solving"," ","3"," "
"Reading electronic documents","1","2"," "
"Reading paper documents (handwritten or typed)","3"," "," "
"Require instant recall of facts/data"," "," ","3"
"Self-starting/initiating"," ","3"," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3"," "
"Total","4","23","9"
