"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","1"," "," "," "," ","2","3"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","4"," "," "," "
"Independent work"," "," ","4","1","1"," "," "
"Work at a fast pace"," ","1","4"," ","1"," "," "
"Work under tight deadlines"," ","2"," ","4"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma"," "," "," "," "," ","6"," "
"Work with clients who may be aggressive"," "," "," "," "," ","4","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","4","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6"," "
"Work with interdisciplinary team members"," "," ","3","3"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," "," ","4"
"Work with more than one preceptor"," ","5"," ","1"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," "," "," "," "," "
"Work with other students"," ","6"," "," "," "," "," "
"Total","5","20","13","13","2","30","13"
