"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","1"," "," "
"By hand"," ","1"," "," ","1","1"," "," "
"Carrying less than 5 kg"," ","1","1","1"," "," "," "," "
"Carrying more than 5 kg"," ","2"," ","1"," "," "," "," "
"Congested/cluttered working areas","1"," "," "," "," "," "," ","2"
"Exposure to chemicals","3"," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","1"," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","2"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," ","1"
"Finger dexterity"," ","2"," ","1"," "," "," "," "
"Grasping"," ","1","1","1"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","1"," "," "
"Keyboarding on phone"," ","3"," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","1"," "," "
"Lifting less than 5 kg"," "," ","2","1"," "," "," "," "
"Lifting more than 5 kg"," ","1","1","1"," "," "," "," "
"Other climbing"," ","2"," "," "," ","1"," "," "
"Pinching"," ","1","1","1"," "," "," "," "
"Pulling less than 5 kg"," ","1","1","1"," "," "," "," "
"Pulling more than 5 kg"," ","1","1","1"," "," "," "," "
"Pushing less than 5 kg"," ","1","1","1"," "," "," "," "
"Pushing more than 5 kg"," ","1","1","1"," "," "," "," "
"Reaching"," ","1","1","1"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," "," "," "," "," "
"Sitting (Intermittent)"," "," "," "," "," ","3"," "," "
"Stair climbing"," "," "," "," "," ","2","1"," "
"Standing (Continuous)"," ","1"," "," ","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","1","1","1"," "
"Travel via car required","3"," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," ","1","1"," "," "
"Use of sharp tools","3"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1"," ","2"," "
"Work only indoors"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," "
"Total","29","26","11","12","9","12","5","13"
