"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","3","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2","2","1"," "," "
"Follow multiple step commands","1"," "," "," "," ","3","2"
"Integrating new learning into practice"," "," "," ","3","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6"," "
"Practicing good judgement and decision-making"," "," ","2","1","3"," "," "
"Problem solving"," "," ","2","2","2"," "," "
"Reading electronic documents"," ","3","1","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","4","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","1","3"
"Self-starting/initiating"," "," ","1","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","2"," "," "
"Total","3","4","13","20","17","10","5"
