"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," "," "
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2"," "," "," "
"Independent work"," ","1","1"," "," "," "
"Work at a fast pace"," "," ","2"," "," "," "
"Work under tight deadlines"," "," ","2"," "," "," "
"Work with clients that speak little or no English"," "," "," "," ","1","1"
"Work with clients who have experienced psychological trauma","2"," "," "," "," "," "
"Work with clients who may be aggressive","2"," "," "," "," "," "
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","2"
"Work with clients with cognitive deficits"," "," "," "," "," ","2"
"Work with clients with multiple diagnoses"," "," "," "," ","2"," "
"Work with interdisciplinary team members"," "," ","2"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","1"
"Work with more than one preceptor"," "," ","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," "," ","2"," "," "," "
"Work with other students"," "," ","2"," "," "," "
"Total","7","1","14","1","3","6"
