"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","4","5"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","1","9"," "," "," "
"Independent work"," ","1","2","6","3"," "," "
"Work at a fast pace"," "," ","4","2","6"," "," "
"Work under tight deadlines"," ","2","5","4","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","6","6"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","4","4"
"Work with clients who may be aggressive","4"," "," "," "," ","4","4"
"Work with clients with challenging economic and/or personal circumstances","3"," "," "," "," ","5","4"
"Work with clients with cognitive deficits"," "," "," "," "," ","10","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","10","2"
"Work with interdisciplinary team members"," "," ","8","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","12"," "
"Work with more than one preceptor"," ","8","2","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5","1","6"," "," "," "
"Work with other students"," ","5","1","5","1"," "," "
"Total","14","23","24","36","13","55","27"
