"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","3","1"," "," "
"Follow multiple step commands"," "," "," "," "," ","4","1"
"Integrating new learning into practice"," "," ","1","3","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," ","2","2","1"," "," "
"Problem solving"," "," ","3","1","1"," "," "
"Reading electronic documents"," ","1","2","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","4","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","1"
"Self-starting/initiating"," "," "," ","4","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","1"," "," "
"Total","1","1","15","21","8","11","3"
