"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","3","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","4"," ","5"," "," "
"Follow multiple step commands","2"," "," "," "," ","8","1"
"Integrating new learning into practice"," "," ","2","4","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","2"
"Practicing good judgement and decision-making"," "," ","4","1","6"," "," "
"Problem solving"," "," ","4","1","6"," "," "
"Reading electronic documents"," ","1","4","4","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","8"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","6","3"
"Self-starting/initiating"," "," ","5","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","4","3"," "," "
"Total","4","3","31","26","39","23","6"
