"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","14"," "," "," "," ","2","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","19","2"," "," "
"Independent work"," "," ","9","9","8"," "," "
"Work at a fast pace"," ","5","7","11","3"," "," "
"Work under tight deadlines"," ","11","6","8","1"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","10","12"
"Work with clients who have experienced psychological trauma","18"," "," "," "," ","2","6"
"Work with clients who may be aggressive","16"," "," "," "," ","2","8"
"Work with clients with challenging economic and/or personal circumstances","4"," "," "," "," ","14","8"
"Work with clients with cognitive deficits","6"," "," "," "," ","12","8"
"Work with clients with multiple diagnoses"," "," "," "," "," ","17","9"
"Work with interdisciplinary team members"," ","2","6","11","7"," "," "
"Work with medically fragile clients and/or those at risk of dying","20"," "," "," "," ","3","3"
"Work with more than one preceptor"," ","9","4","6","7"," "," "
"Work with Occupational Therapy Assistant(s)"," ","17","1","7","1"," "," "
"Work with other students"," ","11","5","8","2"," "," "
"Total","82","58","40","79","31","62","64"
