"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","2"
"Bending"," ","1"," "," ","1","7"," "," "," "
"By hand"," ","1"," "," ","2","6"," "," "," "
"Carrying less than 5 kg"," ","1","8"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","7","2"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","6"," "," "," ","2"," "," "
"Grasping"," "," ","8","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","6"," "," "," "
"Keyboarding on phone"," ","4"," "," ","1","4"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","5"," "," "," "
"Lifting less than 5 kg"," ","1","6","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","3","1"," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "," "
"Pinching"," ","1","7","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","3"," "," "," "," "," "," "
"Reaching"," "," ","8","1"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","4"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","4","4"," ","1"," "
"Stair climbing"," ","2"," "," ","1","6"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","5"," "," "," "
"Standing (Intermittent)"," "," "," "," ","5","4"," "," "," "
"Travel via car required","7"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","7"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","6"," "," "," ","3"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","6"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","8"," "," "," "," "," "," "," ","1"
"Total","96","74","55","5","24","61","3","3","30"
