"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1","2"," "," "
"By hand"," ","1"," "," ","1","2"," "," "
"Carrying less than 5 kg"," ","1","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","3","1"," "," "," "," "
"Grasping"," "," ","3","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","2"," "," "
"Keyboarding on phone"," ","3"," "," "," ","1"," "," "
"Kneeling/squatting"," "," "," "," "," ","4"," "," "
"Lifting less than 5 kg"," ","1","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","4"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "," "
"Pinching"," ","1","2","1"," "," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4"," "," "," "," "," "," "
"Reaching"," "," ","3","1"," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","1","1","1"," "
"Sitting (Intermittent)"," ","1"," "," ","1","1","1"," "
"Stair climbing"," ","2"," "," ","1","1"," "," "
"Standing (Continuous)"," ","2"," "," ","2"," "," "," "
"Standing (Intermittent)"," "," "," "," ","1","2","1"," "
"Travel via car required","4"," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","1"," "," "
"Use of sharp tools","3"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","2"," "," "
"Work only indoors","2"," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","4"," "," "," "," "," "," "," "
"Total","45","44","19","4","11","19","3","11"
