"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","19"," "," "," "," "," "," "," ","3"
"Bending"," "," "," "," ","2","19"," ","1"," "
"By hand"," ","4"," "," ","4","14"," "," "," "
"Carrying less than 5 kg"," ","6","12","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","18","4"," "," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","13"
"Exposure to chemicals","18"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","21"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","15"," "," "," "," "," "," "," ","7"
"Exposure to extreme temperatures","19"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","19"
"Exposure to insects or animals (e.g. bed bugs, cats)","20"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","17"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","3","9","5"," "," ","5"," "," "
"Grasping"," ","2","14","1"," "," ","5"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","18"," ","2"," "
"Keyboarding on phone"," ","21"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","20"," ","1"," "
"Lifting less than 5 kg"," ","5","8","4"," "," ","5"," "," "
"Lifting more than 5 kg"," ","10","11","1"," "," "," "," "," "
"Other climbing"," ","21"," "," "," ","1"," "," "," "
"Pinching"," ","5","12","1"," "," ","4"," "," "
"Pulling less than 5 kg"," ","12","8"," "," "," ","2"," "," "
"Pulling more than 5 kg"," ","17","4","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","6","13","1"," "," ","2"," "," "
"Pushing more than 5 kg"," ","8","10","3"," "," ","1"," "," "
"Reaching"," ","1","15","2"," "," ","4"," "," "
"Sitting (Continuous)"," ","7"," "," ","2","12"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","10","10"," ","2"," "
"Stair climbing"," ","11"," "," ","1","9"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","6","10"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","10","4"," ","8"," "
"Travel via car required","18"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","19"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","8"," "," ","1","12"," ","1"," "
"Use of sharp tools","18"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","8","7"," ","7"," "
"Work only indoors","4"," "," "," "," "," "," "," ","18"
"Work outdoors > 1 hour","22"," "," "," "," "," "," "," "," "
"Total","222","168","120","20","46","137","31","28","86"
