"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," ","4"," "," ","1","1"," "," "," "
"By hand"," ","2"," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","1"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","3","1"," "," "," "," "," "
"Grasping"," ","3"," ","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," ","1"," "
"Keyboarding on phone"," ","6"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","4"," "," ","1","1"," "," "," "
"Lifting less than 5 kg"," ","5","1"," "," "," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "," "
"Pinching"," ","5"," ","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","5"," ","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","5"," ","1"," "," "," "," "," "
"Reaching"," ","3","1","1"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","2","3"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","2"," ","3"," "
"Stair climbing"," ","2"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","2"," "," "," ","4"," "," "," "
"Standing (Intermittent)"," "," "," "," "," ","3"," ","3"," "
"Travel via car required","6"," "," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","3"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","1","3"," ","2"," "
"Work only indoors","3"," "," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," ","2"
"Total","63","81","10","7","8","31","4","9","21"
