"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," "," ","4"," "," "," "
"By hand"," "," "," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," ","1","3","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","1","1"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","2"," "," "," ","2"," "," "
"Grasping"," "," ","2","1"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," "," "," "
"Keyboarding on phone"," ","3"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","3"," "," "," "
"Lifting less than 5 kg"," "," ","1","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","3"," ","2"," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "," "," "
"Pinching"," "," ","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","2","2","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","1","3","1"," "," "," "," "," "
"Reaching"," "," ","2","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","4"," "," ","1"," "
"Stair climbing"," "," "," "," "," ","5"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","4"," "," "," "
"Standing (Intermittent)"," "," "," "," ","5"," "," "," "," "
"Travel via car required","4"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","3"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","3"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","3"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","57","31","23","13","18","32","7","1","13"
