"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "
"Bending"," ","2"," "," ","2","3"," "," "
"By hand"," ","1"," "," ","1","5"," "," "
"Carrying less than 5 kg"," ","3","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","1"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," ","1"
"Exposure to chemicals","7"," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," ","1"
"Exposure to strong odors","6"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","4","2"," "," "," "," "
"Grasping"," ","1","4","2"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","5"," "," "
"Keyboarding on phone"," ","5"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","1","6"," "," "
"Lifting less than 5 kg"," ","2","4","1"," "," "," "," "
"Lifting more than 5 kg"," ","6","1"," "," "," "," "," "
"Other climbing"," ","7"," "," "," "," "," "," "
"Pinching"," ","2","3","2"," "," "," "," "
"Pulling less than 5 kg"," ","6","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","1"," "," "," "," "," "
"Reaching"," ","1","4","2"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","3","2"," "
"Stair climbing"," ","3"," "," ","1","3"," "," "
"Standing (Continuous)"," ","1"," "," ","2","4"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4","1"," "
"Travel via car required","7"," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," ","1","1"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","3","4"," "," "
"Work only indoors","2"," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," "
"Total","81","72","30","9","18","43","3","17"
