"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","11"," "," "," "," ","3","25"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","4","30","3"," "," "
"Independent work"," "," ","10","16","13"," "," "
"Work at a fast pace"," ","3","10","9","17"," "," "
"Work under tight deadlines"," ","6","12","14","7"," "," "
"Work with clients that speak little or no English","4"," "," "," "," ","13","22"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","11","20"
"Work with clients who may be aggressive","17"," "," "," "," ","1","21"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","20","19"
"Work with clients with cognitive deficits","4"," "," "," "," ","21","14"
"Work with clients with multiple diagnoses"," "," "," "," "," ","34","5"
"Work with interdisciplinary team members"," "," ","12","17","10"," "," "
"Work with medically fragile clients and/or those at risk of dying","14"," "," "," "," ","10","15"
"Work with more than one preceptor"," ","20","7","6","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5","8","22","4"," "," "
"Work with other students"," ","16","4","18","1"," "," "
"Total","58","52","67","132","61","113","141"
