"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","4","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","3","2","14"," "," "," "
"Independent work"," ","1","7","7","4"," "," "
"Work at a fast pace"," "," ","6","2","11"," "," "
"Work under tight deadlines"," ","2","8","7","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","6","12"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","5","10"
"Work with clients who may be aggressive","6"," "," "," "," ","5","8"
"Work with clients with challenging economic and/or personal circumstances","4"," "," "," "," ","7","8"
"Work with clients with cognitive deficits"," "," "," "," "," ","16","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","16","3"
"Work with interdisciplinary team members"," "," ","10","3","6"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","14","5"
"Work with more than one preceptor"," ","13","2","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","10","1","8"," "," "," "
"Work with other students"," ","9","2","7","1"," "," "
"Total","20","38","38","50","26","73","59"
