"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","18"," "," "," "," "," "," "," ","2"
"Bending"," ","4"," "," ","2","14"," "," "," "
"By hand"," ","3"," "," ","4","13"," "," "," "
"Carrying less than 5 kg"," ","7","11","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","18","2"," "," "," "," "," "," "
"Congested/cluttered working areas","16"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","18"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","17"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","17"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","14"
"Exposure to insects or animals (e.g. bed bugs, cats)","18"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","14"," "," "," "," "," "," "," ","6"
"Finger dexterity"," ","2","10","2"," "," ","6"," "," "
"Grasping"," "," ","14","3"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","6","10"," ","2"," "
"Keyboarding on phone"," ","12"," "," ","1","7"," "," "," "
"Kneeling/squatting"," ","8"," "," ","2","10"," "," "," "
"Lifting less than 5 kg"," ","4","12","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","13","5","1"," "," ","1"," "," "
"Other climbing"," ","17"," "," "," ","3"," "," "," "
"Pinching"," ","2","14","2"," "," ","2"," "," "
"Pulling less than 5 kg"," ","17","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","16","3","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","16","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","13","4","3"," "," "," "," "," "
"Reaching"," ","1","14","2"," "," ","3"," "," "
"Sitting (Continuous)"," ","4"," "," ","5","7"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","10","5"," ","5"," "
"Stair climbing"," ","5"," "," ","1","14"," "," "," "
"Standing (Continuous)"," ","5"," "," ","4","10"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","11","6"," ","3"," "
"Travel via car required","15"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","18"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","11"," "," "," ","9"," "," "," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","7","13"," "," "," "
"Work only indoors","5"," "," "," "," "," "," "," ","15"
"Work outdoors > 1 hour","18"," "," "," "," "," "," "," ","2"
"Total","215","180","95","20","53","121","16","15","65"
