"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","3","5"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","10"," "," "," "
"Independent work"," "," ","6","1","4"," "," "
"Work at a fast pace"," "," ","2","4","5"," "," "
"Work under tight deadlines"," ","3","2","4","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","7"
"Work with clients who have experienced psychological trauma","8"," "," "," "," ","1","2"
"Work with clients who may be aggressive","8"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","5"
"Work with clients with cognitive deficits","3"," "," "," "," ","5","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","3"
"Work with interdisciplinary team members"," ","1","3","4","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","6","3"
"Work with more than one preceptor"," ","3","2","4","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," ","2"," "," "," "
"Work with other students"," ","2","5","4"," "," "," "
"Total","25","18","21","33","16","32","31"
