"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1"," "," ","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","4"," "
"Integrating new learning into practice"," "," ","1","1","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","2","3"
"Practicing good judgement and decision-making"," "," "," ","1","4"," "," "
"Problem solving"," "," ","1","2","2"," "," "
"Reading electronic documents"," "," ","1","3","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","3","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","1"
"Self-starting/initiating"," "," ","1","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," "," ","1","4"," "," "
"Total","2","1","7","13","24","9","4"
