"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","2","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","5"," "," "," "
"Independent work"," "," ","3"," ","3"," "," "
"Work at a fast pace"," "," ","2","2","2"," "," "
"Work under tight deadlines"," ","3","1","2"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma","4"," "," "," "," "," ","2"
"Work with clients who may be aggressive","5"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","4","2"
"Work with clients with cognitive deficits"," "," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","2"
"Work with interdisciplinary team members"," "," ","2","3","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","4","1"
"Work with more than one preceptor"," ","1","1","3","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5"," ","1"," "," "," "
"Work with other students"," ","2","1","3"," "," "," "
"Total","13","11","11","19","7","21","14"
