"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," "," ","4"," "," "," "
"By hand"," ","1"," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," ","1","4","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","4","1","1"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","6"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","2","2"," "," "," ","2"," "," "
"Grasping"," ","1","2","1"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," ","1"," "
"Keyboarding on phone"," ","4"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","3"," "," "," ","3"," "," "," "
"Lifting less than 5 kg"," ","1","1","3"," "," ","1"," "," "
"Lifting more than 5 kg"," ","4"," ","2"," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "," "
"Pinching"," ","1","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","2","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","3","1"," "," "," "," "," "
"Reaching"," ","1","2","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","5"," "," ","1"," "
"Stair climbing"," ","1"," "," "," ","5"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","4"," "," "," "
"Standing (Intermittent)"," "," "," "," ","5","1"," "," "," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","5"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","3"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","4"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "," "
"Total","68","50","24","13","19","34","7","3","16"
