"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","12"," "," "," "," "," "," "," ","2"
"Bending"," ","1"," "," ","2","10"," ","1"," "
"By hand"," ","2"," "," ","3","9"," "," "," "
"Carrying less than 5 kg"," ","4","7","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","10","1","3"," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","6"
"Exposure to chemicals","13"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","13"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","12"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","11"
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","8"
"Finger dexterity"," ","5","7","1"," "," ","1"," "," "
"Grasping"," ","2","9","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","7","4"," ","1"," "
"Keyboarding on phone"," ","11"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","2"," "," ","2","10"," "," "," "
"Lifting less than 5 kg"," ","2","10","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","6","2"," "," "," "," "," "
"Other climbing"," ","12"," "," "," ","2"," "," "," "
"Pinching"," ","4","9","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","8","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","8","4","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","6","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","8","1"," "," "," "," "," "
"Reaching"," ","2","9","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","7"," "," ","3","4"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","4","10"," "," "," "
"Stair climbing"," ","3"," "," "," ","10"," ","1"," "
"Standing (Continuous)"," ","4"," "," ","3","4"," ","3"," "
"Standing (Intermittent)"," "," "," "," ","4","7"," ","3"," "
"Travel via car required","14"," "," "," "," "," "," "," "," "
"Travel via public transportation required","14"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","7"," "," ","2","5"," "," "," "
"Use of sharp tools","14"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","7"," ","4"," "
"Work only indoors","2"," "," "," "," "," "," "," ","12"
"Work outdoors > 2 hour","13"," "," "," "," "," "," "," ","1"
"Total","145","113","82","21","33","85","3","13","51"
